id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_660	15	0.02973	0.15047	0.382863	329	9	-0.20207	0.20621	0.20624	1.0	115	0	-0.20207
Region_797	6	0.030293	0.11061	0.314506	330	4	-0.738	0.97081	0.97071	1.0	829	0	-0.738
Region_648	3	0.030588	0.075157	0.25765	331	3	-0.95288	0.93379	0.93348	1.0	766	0	-0.95288
Region_888	10	0.030707	0.13333	0.351577	332	7	-0.26417	0.70586	0.70603	1.0	490	0	-0.26417
Region_792	9	0.030828	0.1307	0.349089	333	5	-0.12753	0.79567	0.79543	1.0	600	0	-0.12753
Region_239	9	0.031002	0.13116	0.349089	334	7	-0.40101	0.55986	0.55835	1.0	380	0	-0.40101
Region_59	9	0.031158	0.13165	0.349089	335	4	0.15674	0.85273	0.85151	1.0	658	0	0.15674
Region_906	21	0.031182	0.17501	0.416147	336	15	-0.36698	0.81278	0.81437	1.0	613	0	-0.36698
Region_896	3	0.031777	0.077821	0.260506	337	3	-1.2919	0.95513	0.95504	1.0	795	0	-1.2919
Region_777	3	0.032318	0.079058	0.26151	338	3	-1.4086	0.91949	0.91958	1.0	742	0	-1.4086
Region_265	6	0.032407	0.11688	0.327255	339	4	-0.60581	0.68221	0.68249	1.0	465	0	-0.60581
Region_854	6	0.032517	0.11715	0.327255	340	5	-0.76894	0.94759	0.94793	1.0	781	0	-0.76894
Region_116	3	0.033189	0.080919	0.26151	341	2	-0.30138	0.43219	0.4314	1.0	283	0	-0.30138
Region_267	9	0.033214	0.13796	0.359774	342	7	-0.54539	0.96342	0.96301	1.0	811	0	-0.54539
Region_295	3	0.03364	0.08181	0.26151	343	3	-0.78334	0.96636	0.96617	1.0	821	0	-0.78334
Region_476	6	0.033711	0.12055	0.331776	344	5	-0.29834	0.89531	0.89591	1.0	705	0	-0.29834
Region_8	3	0.033893	0.082414	0.26151	345	2	-1.3824	0.8586	0.85959	1.0	663	0	-1.3824
Region_157	3	0.034703	0.084533	0.264328	346	2	-1.3076	0.37344	0.37258	1.0	248	0	-1.3076
Region_511	12	0.034878	0.15643	0.390794	347	8	-0.39356	0.99354	0.99337	1.0	910	0	-0.39356
Region_180	12	0.034907	0.15653	0.390794	348	9	-0.41647	0.98859	0.98843	1.0	893	0	-0.41647
Region_614	5	0.034975	0.11806	0.327804	349	4	-0.78633	0.95639	0.95684	1.0	801	0	-0.78633
Region_285	12	0.035115	0.15732	0.390794	350	7	-0.46793	0.81281	0.81139	1.0	614	0	-0.46793
Region_377	3	0.036026	0.087562	0.271013	351	3	-0.43457	0.96397	0.96385	1.0	814	0	-0.43457
Region_899	6	0.036549	0.12847	0.346502	352	4	-0.53816	0.65512	0.65538	1.0	444	0	-0.53816
