BIN	coeff	pvalue
PHOX2B.00002	-0.00876515501736664	0.321102047723054
PHOX2B.00003	0.01356027430158	0.10745068286506
PHOX2B.00004	0.0267720178544767	0.00249385819692058
PHOX2B.00007	-0.00409988816342733	0.572348652822134
PHOX2B.00008	-0.0149830073828401	0.0148827305858972
PHOX2B.00009	-0.0201096659283981	0.000263610300590701
PHOX2B.00010	-0.0136754985636403	0.00149256900734975
PHOX2B.00011	-0.0052840643172869	0.0855166947656409
PHOX2B.00012	-0.0114261932534695	0.0601517153377562
PHOX2B.00013	-0.0212032771347094	0.00285410292054256
PHOX2B.00014	-0.0259504170244204	0.000259466126849345
PHOX2B.00015	-0.0268506435064038	9.37267581965282e-05
PHOX2B.00016	-0.0286842414692876	8.73006161133454e-05
PHOX2B.00017	-0.0276136401922727	0.0005589130872894
PHOX2B.00018	-0.0179456929871155	0.00498414008485422
PHOX2B.00019	-0.0101512766274265	0.171833783616212
PHOX2B.00020	-0.00152395445086781	0.835332441597252
PHOX2B.00021	-0.00693570419189251	0.381454700343118
PHOX2B.00022	-0.0108525536691132	0.0650223830487548
PHOX2B.00023	-0.018965132434725	3.06797610851358e-05
PHOX2B.00024	-0.0226288635588504	0.000479111095506839
PHOX2B.00025	-0.0112902150262147	0.0982542711373147
PHOX2B.00026	-0.00930118977675174	0.201075179527809
PHOX2B.00027	-0.00950166532640623	0.152611463208906
PHOX2B.00028	-0.0206594942968037	0.00565549529922038
PHOX2B.00029	-0.0225408061841433	0.000945170615370416
PHOX2B.00031	-0.000972473626587409	0.836778169670294
PHOX2B.00032	0.00509989481993795	0.131696560525631
PHOX2B.00033	0.0103852243855362	0.00485153415438448
PHOX2B.00034	0.00566196975184536	0.346986860231894
PHOX2B.00035	0.0160130517375412	0.125422624583485
PHOX2B.00039	0.00532512713237563	0.560160701537329
PHOX2B.00040	0.00559745025702389	0.40985421931029
PHOX2B.00041	-0.0028724243432683	0.50656897021504
PHOX2B.00042	-0.00576461029006668	0.192514213585547
PHOX2B.00043	-0.00666530955578639	0.198920724438681
PHOX2B.00045	0.000124756984654533	0.984110788092047
PHOX2B.00046	0.00832350358545599	0.169443587786184
PHOX2B.00047	0.0136634924244197	0.00824843052313648
PHOX2B.00048	0.0125574919863465	0.00543232736319175
PHOX2B.00052	0.0122680401928536	0.0037431686451179
PHOX2B.00053	0.000592309522586098	0.916289430043642
PHOX2B.00055	-0.00676616606877614	0.249086654788402
PHOX2B.00056	-0.00489598182947735	0.368363182783016
PHOX2B.00057	0.0132879798936986	0.0185938766374944
PHOX2B.00058	0.00881077865973408	0.084978667281726
PHOX2B.00059	0.0112285414607265	0.0355146950643761
PHOX2B.00060	-0.0133246658244222	0.0774729822384298
PHOX2B.00061	-0.0145985439514558	0.0837821767975477
PHOX2B.00062	-0.0279869216348843	0.00838199307264162
PHOX2B.00065	-0.0123315743739018	0.0394682825121134
PHOX2B.00066	-0.00839124336896299	0.10305516049954
PHOX2B.00067	-0.00500285926086093	0.299755572299062
PHOX2B.00068	0.00300123480945434	0.447816201932435
PHOX2B.00069	0.00349215851247123	0.350010864001089
PHOX2B.00070	0.00909201964302336	0.00600390516678874
PHOX2B.00071	0.0156338748651958	4.87534292558404e-05
PHOX2B.00072	0.00750510062488035	0.119888913125521
