Gene,pvalue,estimate,adj_pvalue
PHOX2B.00001,9.43727849846299e-5,-0.05535970387611288,0.0032207856180296434
PHOX2B.00002,0.06445875860702652,-0.012804126566035242,0.16528743905772994
PHOX2B.00003,0.11006553664965149,0.030682348834493053,0.2379346511496979
PHOX2B.00007,0.5185937698701145,-0.004738985403067255,0.6672982370804151
PHOX2B.00008,0.01705272792927622,-0.03183509001867174,0.06930044178893827
PHOX2B.00009,0.06043530541973462,-0.020267718347441958,0.15849662904689682
PHOX2B.00010,0.01772394962606874,-0.017082395414509764,0.0711865021628239
PHOX2B.00011,0.7114476692118156,-0.0018525241497126723,0.8133786785014858
PHOX2B.00012,0.016209613067456028,0.009278459461906011,0.06751630632868226
PHOX2B.00013,0.03592510144554371,-0.0375230685862811,0.11298643415238808
PHOX2B.00014,0.015168744792224097,-0.03968844896566592,0.06475123612364332
PHOX2B.00015,0.26100969360125603,-0.008349014881216112,0.4232537388356769
PHOX2B.00016,0.0013931444393237686,-0.05608217648607759,0.014891388615051153
PHOX2B.00017,0.0022562356392918283,-0.04906427822036664,0.019794169735623358
PHOX2B.00018,0.2719160034506051,-0.014250151662934125,0.43427801801357846
PHOX2B.00019,0.027205319053636903,-0.013397915111134725,0.09446234347279639
PHOX2B.00020,0.4024848618548709,-0.01776673097525787,0.5633391569917199
PHOX2B.00021,0.33133713317473856,0.010253084240062441,0.4951610906210947
PHOX2B.00022,0.002371737570438947,-0.027130770727215474,0.020424924279358776
PHOX2B.00023,0.011308850413901275,-0.02372473640034048,0.05321323344124717
PHOX2B.00024,0.36288736843732183,-0.005961439610300383,0.5254770896255154
PHOX2B.00025,0.00836537815250175,-0.0473006547714051,0.04403601706720445
PHOX2B.00026,0.5243672512571521,0.007163261507942644,0.6719633501522224
PHOX2B.00027,0.7728743814032033,0.002616859329884864,0.8590668836581613
PHOX2B.00028,0.0012904336142518225,-0.04541603067141802,0.0143504812238638
PHOX2B.00031,0.6603843727815145,0.003069921478357931,0.7760680811382885
PHOX2B.00032,0.293718062043124,0.007537337443676658,0.45756139970112275
PHOX2B.00033,0.5421982056111064,0.003428292881349591,0.6861517620583382
PHOX2B.00034,0.09678297529257247,0.014300583451289092,0.2176303694088079
PHOX2B.00035,0.19852129161648624,-0.023714807359772785,0.3517568984196511
PHOX2B.00040,0.04077318122760874,-0.014160083876240294,0.12268559426101595
PHOX2B.00041,0.2732156754216882,0.007688635919148113,0.4359449452002767
PHOX2B.00042,0.8648112028417572,0.001305516397618742,0.9199007214648393
PHOX2B.00043,6.79295770604962e-4,-0.03163913492910953,0.009768222202254656
