Gene,pvalue,estimate,adj_pvalue
PHOX2B.00001,0.0013570763961656255,0.016496778924860102,0.03045772192799835
PHOX2B.00002,0.03346501822533159,-0.010981511807670588,0.15087931721054734
PHOX2B.00003,0.6283651553821669,-0.0057285792873850196,0.7957215586000195
PHOX2B.00007,0.29937779096999806,-0.006712589454129375,0.525677223113299
PHOX2B.00008,0.032922925850688296,-0.011248787856544385,0.14993331264563306
PHOX2B.00009,0.28611781001207615,0.004631070580291112,0.5143543930661564
PHOX2B.00010,0.013437042334932354,0.01070137757924972,0.09320200088333849
PHOX2B.00011,0.8920287981634516,-6.666596813128667e-4,0.9501087905207132
PHOX2B.00012,0.26864656911607215,0.00723751341168678,0.49681303631080587
PHOX2B.00013,0.003282704146760026,0.010650281969955778,0.04566418742441343
PHOX2B.00014,0.8809939957074531,-7.270458092509935e-4,0.9445867636706685
PHOX2B.00015,0.04095634178605509,0.00751558269246033,0.16858747670205115
PHOX2B.00016,0.01022215370921545,-0.015963299262762583,0.08048042845843022
PHOX2B.00017,0.6514811039397307,-0.0020045990748080336,0.8121549004334716
PHOX2B.00018,0.1604599786053615,0.007404459699607415,0.3662792809255511
PHOX2B.00019,0.3103244216498089,-0.004055085691700325,0.5372064437571903
PHOX2B.00020,0.3744419177701092,0.004808310278155137,0.595679700826934
PHOX2B.00021,0.0011983458542479568,-0.021520640914481536,0.028837431082836623
PHOX2B.00022,0.07407566822648855,0.01573012217054721,0.23494846228922883
PHOX2B.00023,0.0012879074499229847,-0.01326741623382599,0.029466169104282736
PHOX2B.00024,0.05542444069625104,-0.022646686547447295,0.2009939085481032
PHOX2B.00025,0.01921294527306062,-0.02172811546317248,0.1130576729714957
PHOX2B.00026,0.057015739791738074,-0.010360995203875656,0.20391840300222885
PHOX2B.00027,0.06177903022198043,0.008251676520044037,0.21214268731917496
PHOX2B.00028,0.11428498300760108,0.01103334239766886,0.3027258518271154
PHOX2B.00031,0.0016621750420620165,0.01974627249878451,0.03333061849775293
PHOX2B.00032,0.37000639107688854,0.005374407848746304,0.5919252733059512
PHOX2B.00033,0.27708870156882637,-0.006416846970699873,0.5055335284870911
PHOX2B.00034,0.2957945769075112,-0.005904778249575446,0.5224598789732409
PHOX2B.00035,0.3540380667782773,-0.010378186527764819,0.5772914380541126
PHOX2B.00040,0.06926177841658188,-0.011988854977267989,0.22615959014567397
PHOX2B.00041,0.012953030742593533,0.020131595615902515,0.09180119861497661
PHOX2B.00042,0.2089686568176942,-0.008825133449443277,0.4269332987282999
PHOX2B.00043,0.10648014343916173,-0.01745332200733746,0.29016297950295983
PHOX2B.00045,0.02573750588255601,0.01273031190874701,0.13141660694998034
PHOX2B.00046,0.2723603101589841,-0.006567130264986013,0.5003608814030522
PHOX2B.00047,0.11839043423151967,0.010296283026229144,0.3086830412090287
PHOX2B.00048,0.4478983885983276,-0.010276950678812319,0.6580251484400771
PHOX2B.00052,0.061066292316262094,-0.01276951948180807,0.21120621585805155
PHOX2B.00053,0.6889231188351383,0.0023064046124392857,0.8351984192056917
PHOX2B.00055,0.6948859202856846,-0.003828024446432805,0.8382625301311699
PHOX2B.00057,0.008885678658991833,-0.017657923599261903,0.07571348980749627
PHOX2B.00058,2.663611546589069e-4,-0.017684632708872418,0.014427739009775209
PHOX2B.00059,0.015582610251830806,-0.015620615789769646,0.10112863359454465
PHOX2B.00060,0.1707541663689716,0.00948236902540277,0.37919107557657067
PHOX2B.00061,0.038419626083123576,-0.016480226064519186,0.16201772991147217
PHOX2B.00066,0.28879779310981474,0.006594672200311971,0.5167867288304304
PHOX2B.00067,0.04907082625778074,-0.010397218801941416,0.1864204945986421
PHOX2B.00068,0.6120000172724194,-0.002974935413611379,0.7841969626990651
PHOX2B.00069,0.42756840405633917,0.004624205061970147,0.6405581903842962
PHOX2B.00070,0.4279546950316415,-0.00547283303140884,0.640699044842273
PHOX2B.00071,0.007724146171865191,0.027874733070176787,0.07043630973737151
PHOX2B.00072,0.7412070698876505,-0.001787236999467278,0.8668856704062128
PHOX2B.00073,0.6914945396713074,0.0027121244976494136,0.8360277470639226
PHOX2B.00074,0.2931070571275147,-0.0090680978366697,0.5197643418742577
PHOX2B.00075,0.2921570173371209,-0.006952945508833302,0.5193050748933082
PHOX2B.00076,0.814111059562982,-0.0017440347912684971,0.9083272750593895
PHOX2B.00077,0.6988796285227339,0.0018005417975208613,0.8406407584451496
PHOX2B.00078,0.15669036545594187,-0.011372505727007681,0.361243286520399
PHOX2B.00079,0.002820141012054057,0.014648974792035592,0.04237570018431872
PHOX2B.00089,0.0390028057448124,-0.007266795149834025,0.16344286748557388
