Gene,pvalue,estimate,fdr,Result,Construct
Region_130,0.6752234571492678,0.0016938970724413565,0.8303832013471238,NoChange,KRAB
Region_131,0.39176155268815893,-0.0032311243815644967,0.6180670918500797,NoChange,KRAB
Region_132,0.002413323248564007,-0.005071175473714717,0.031166345952883746,Depleted,KRAB
Region_133,0.5432054004279745,-0.007185730986606927,0.7351162903995343,NoChange,KRAB
Region_134,0.05316525311761564,-0.01224557653547662,0.19443113403056195,NoChange,KRAB
Region_135,0.16457877438960022,0.005812838022403714,0.35593112930191056,NoChange,KRAB
Region_136,0.06604851122249727,-0.0184847219705955,0.21434782868587982,NoChange,KRAB
Region_138,0.008726692660212268,-0.022138825869237044,0.07107144292641343,NoChange,KRAB
Region_139,0.8208844504831003,0.0012340427858877293,0.9060800283720668,NoChange,KRAB
Region_140,0.72479444174236,-0.001184511435947771,0.8531434574675695,NoChange,KRAB
Region_141,0.7865756643315039,-0.0028926420556472467,0.8910581460597488,NoChange,KRAB
Region_142,0.07344422245435654,-0.006268241071917177,0.2258284935331235,NoChange,KRAB
Region_143,0.5941456699424579,0.002351960384704457,0.7761671757629796,NoChange,KRAB
Region_144,0.9501386623654853,-2.9413837364512737e-4,0.9779829756313827,NoChange,KRAB
Region_145,0.053339514645552394,-0.017322059408055274,0.19443113403056195,NoChange,KRAB
Region_146,0.6124656603884094,-0.0018562113843609057,0.7846886624866724,NoChange,KRAB
Region_147,0.2548273230989354,-0.0058615382010877536,0.4546217097336025,NoChange,KRAB
Region_148,0.1218608615064387,-0.008018612328735802,0.2909888542811445,NoChange,KRAB
Region_149,1.1087352001098412e-4,-0.021614486357648337,0.005568314560551647,Depleted,KRAB
Region_150,0.5193179325921571,0.005776322515572535,0.714556181222694,NoChange,KRAB
Region_151,0.9700670521713886,2.6581857183092736e-4,0.9875765932467453,NoChange,KRAB
Region_152,5.901653931503757e-4,-0.009334912216753552,0.014157650076509628,Depleted,KRAB
Region_153,2.2045546441236864e-5,-0.025255755887616305,0.002933694272936106,Depleted,KRAB
Region_154,5.951224589683251e-4,0.005268097179729309,0.014157650076509628,Enriched,KRAB
Region_155,0.1055466382237292,0.005940278676005309,0.26953152811935366,NoChange,KRAB
Region_156,0.653863018028932,-0.001869566027395728,0.8141765403555847,NoChange,KRAB
Region_157,0.6272813885817392,0.003275123193806331,0.7953188994079835,NoChange,KRAB
Region_158,0.2012054191814421,-0.004779941505036643,0.39854428739411163,NoChange,KRAB
Region_159,0.7344491636660934,-0.0023153039454637103,0.8601440762773623,NoChange,KRAB
Region_160,0.14967596274052408,0.008077864983755822,0.3349184908847371,NoChange,KRAB
Region_161,0.14065162443916665,-0.0044007589573603016,0.32108350629547133,NoChange,KRAB
Region_162,0.03190603175698065,-0.007643082618494239,0.1420323178206898,NoChange,KRAB
Region_163,0.09949502599428184,0.006017276512233476,0.26146367296171735,NoChange,KRAB
Region_164,0.980961828514201,5.908679224459867e-5,0.9941586244134952,NoChange,KRAB
Region_165,0.05721874352325052,-0.006482101479048859,0.2036446619882617,NoChange,KRAB
Region_166,0.7185400087791138,-0.0012075726848200942,0.8511759225015827,NoChange,KRAB
Region_167,0.3209180374582514,0.005857984988091193,0.5412498243698868,NoChange,KRAB
Region_168,0.04257485468575031,-0.01572185894553187,0.16447721639281318,NoChange,KRAB
Region_169,0.006562804080506583,-0.015335252775259588,0.05704591239209568,NoChange,KRAB
Region_170,0.25478287846205916,-0.00524050417255298,0.4546217097336025,NoChange,KRAB
Region_171,0.14358439229951514,0.0044107359346494965,0.3253140116259691,NoChange,KRAB
Region_172,0.07576370796857822,-0.010778528348769061,0.23138645947160374,NoChange,KRAB
Region_173,0.3544872206547503,0.0034073455308465863,0.578910570888093,NoChange,KRAB
Region_174,0.06822569833050107,-0.009553932183226055,0.2164072777664541,NoChange,KRAB
Region_175,0.3431124655348777,-0.006614435869926603,0.5639521251700534,NoChange,KRAB
Region_176,0.4410451292172147,-0.005578782420592592,0.6568448052921946,NoChange,KRAB
Region_177,0.5377965590140602,-0.008552823580601557,0.7332852026375724,NoChange,KRAB
Region_178,0.008134978334281761,-0.017574308867218693,0.0674680771944102,NoChange,KRAB
Region_179,0.12062580944440776,0.01810368202008836,0.2907194413112044,NoChange,KRAB
Region_180,0.43466447366028127,-0.003240001030035687,0.6522479750246792,NoChange,KRAB
Region_181,0.0054181768664726005,-0.007711956099501222,0.05102116549261698,NoChange,KRAB
Region_182,0.9974633364250239,2.6015687901809687e-5,0.9986113078170196,NoChange,KRAB
Region_183,0.060825976092865185,-0.009319420695286804,0.2058849787577244,NoChange,KRAB
Region_184,0.8055271042001272,-0.001147688695820048,0.8967937219173829,NoChange,KRAB
Region_185,0.40307205781074334,0.008200660665743932,0.6293214857701416,NoChange,KRAB
Region_186,0.5567749492876779,-0.002261447995740541,0.7494506093158608,NoChange,KRAB
Region_187,0.8983341110557285,5.086017927853245e-4,0.9464483346449378,NoChange,KRAB
Region_188,0.49368813828833674,-0.0031620212981340705,0.6987102128055285,NoChange,KRAB
Region_190,0.2190941112795766,0.006724595561472579,0.41614894717895734,NoChange,KRAB
Region_191,0.03874474011370689,0.014679870972476429,0.15692956831444568,NoChange,KRAB
Region_192,0.027337296185937575,-0.005988890158247501,0.13226384849632136,NoChange,KRAB
Region_193,0.09065467177792198,0.007714347457014148,0.2516021166233077,NoChange,KRAB
Region_194,0.8648196770907127,-9.870640333267812e-4,0.9340465807526932,NoChange,KRAB
Region_195,0.10301760384695502,0.006568255774156117,0.2653216919591092,NoChange,KRAB
Region_196,0.031491267157894735,0.011256874857968812,0.1420323178206898,NoChange,KRAB
Region_197,0.004217028352429131,-0.012273150093490505,0.04538325750709447,Depleted,KRAB
Region_198,0.3099776089862594,0.004796152995055853,0.5277208258447806,NoChange,KRAB
Region_199,0.06891936814625216,0.010560783614398156,0.2164072777664541,NoChange,KRAB
Region_200,0.7196421517102849,0.0020652861499259397,0.8511759225015827,NoChange,KRAB
Region_201,0.10274482771950692,-0.02009228126938305,0.2653216919591092,NoChange,KRAB
Region_202,0.8697467689874623,8.487132612483827e-4,0.9360131894817451,NoChange,KRAB
Region_203,0.7402434080272029,0.003241945288693826,0.8645736961971465,NoChange,KRAB
Region_204,0.2739498450598292,-0.012690406329661272,0.47994313940714267,NoChange,KRAB
Region_205,0.5015585739845625,0.002433123266779382,0.7042018687007868,NoChange,KRAB
Region_206,0.2807532092246456,0.005981401326031141,0.4871418447966979,NoChange,KRAB
Region_207,0.42637718909175837,-0.004980836229884667,0.6451368640505647,NoChange,KRAB
Region_208,0.19387964202663097,-0.010407524596771325,0.38948265864905424,NoChange,KRAB
Region_209,0.017413210055331446,-0.016340494868479865,0.1008940804142109,NoChange,KRAB
Region_210,0.7002566426167102,0.00129786158011774,0.8462994718255428,NoChange,KRAB
Region_211,0.6974506320723639,-0.0029391898835802142,0.8459054749572427,NoChange,KRAB
Region_212,0.026979601297062804,0.014784796009030389,0.13226384849632136,NoChange,KRAB
Region_213,0.3682696627530699,-0.007452831005196735,0.5917746242317365,NoChange,KRAB
Region_214,0.9509780806756211,-2.2542776961494395e-4,0.9779829756313827,NoChange,KRAB
Region_215,0.01422235970095802,-0.01220831586599012,0.09054234626525387,NoChange,KRAB
Region_216,0.009602117429218291,-0.02366518601257565,0.07483029444839082,NoChange,KRAB
Region_217,0.00224459851808771,-0.023162978043460788,0.030740504707976634,Depleted,KRAB
Region_218,0.46790629916862325,0.001579222176696552,0.6828221424178714,NoChange,KRAB
Region_219,0.24519897192226434,0.00501913093789567,0.44779771841965044,NoChange,KRAB
Region_221,0.06635269320395977,-0.008521043882401385,0.21434782868587982,NoChange,KRAB
Region_222,0.2137035399013372,0.002832317498846316,0.4127948719461727,NoChange,KRAB
Region_223,0.023116455405376757,-0.01248493172712759,0.1200992855543712,NoChange,KRAB
Region_224,0.5063024731642547,0.004122853858424594,0.704811252367211,NoChange,KRAB
Region_225,0.7673052514550545,0.0018533630795762592,0.8817774457206057,NoChange,KRAB
Region_227,0.06592470729593511,-0.008609309435298963,0.21434782868587982,NoChange,KRAB
Region_228,0.5872870607685783,0.0014758963369525008,0.7749936512604505,NoChange,KRAB
Region_229,0.7016631974446149,9.543207123273018e-4,0.8468671969157969,NoChange,KRAB
Region_230,0.0051875069717372225,-0.017327053584833767,0.04988836491968563,Depleted,KRAB
Region_231,7.668608079649709e-4,0.009588956439284672,0.016549940326205565,Enriched,KRAB
Region_232,0.11446043862962667,0.007108726329802804,0.28041256509805557,NoChange,KRAB
Region_233,0.7070916851600688,6.341916708709886e-4,0.8478572970244904,NoChange,KRAB
Region_234,0.08983097789000567,-0.006361746827203319,0.2515498561680886,NoChange,KRAB
Region_235,0.0645364680802448,-0.01008165457214267,0.21292323775380034,NoChange,KRAB
Region_236,0.6067229566252134,0.003131389330837736,0.7846886624866724,NoChange,KRAB
Region_237,0.9332286946231817,9.164517661567126e-4,0.9663673997014391,NoChange,KRAB
Region_238,0.9021482705887632,8.271726193628638e-4,0.9464483346449378,NoChange,KRAB
Region_239,0.9024525015989714,-4.237155500556916e-4,0.9464483346449378,NoChange,KRAB
Region_240,0.015928906802265018,-0.024633312176920073,0.09930849482239708,NoChange,KRAB
Region_241,0.5182274399673874,0.0031971063632455538,0.7141426916623753,NoChange,KRAB
Region_242,0.0014925160681939663,-0.02104939362253856,0.025946817800910488,Depleted,KRAB
Region_244,0.005641107166566989,0.009661234632424208,0.05203633549567917,NoChange,KRAB
Region_245,0.25547326166445805,0.010451800049186203,0.4546217097336025,NoChange,KRAB
Region_246,0.8177374834480742,0.0018471968380930576,0.9045321695905524,NoChange,KRAB
Region_247,0.6631093602199956,0.002775665004530548,0.8200422183842353,NoChange,KRAB
Region_248,0.7056657960796409,-0.0019329133271994614,0.8478572970244904,NoChange,KRAB
Region_249,0.0068170888842438325,-0.008225668512940522,0.057789566918290076,NoChange,KRAB
Region_250,0.32659250745259977,0.004905527071834382,0.5457294394402037,NoChange,KRAB
Region_251,0.03447811100437442,-0.01657183417413891,0.14701986956582302,NoChange,KRAB
Region_252,0.643000780804626,-0.002059031168500941,0.8073232025658081,NoChange,KRAB
Region_253,0.05213223964683142,-0.008138800386315316,0.19235732506422695,NoChange,KRAB
Region_254,0.002239990841567802,0.00858170051032668,0.030740504707976634,Enriched,KRAB
Region_255,0.7971864054291489,-0.0019630320509932625,0.8949250447004513,NoChange,KRAB
Region_256,0.8259763357371916,-3.6058882509499744e-4,0.907499481445753,NoChange,KRAB
Region_257,0.5431247099633278,-0.0030064061350582676,0.7351162903995343,NoChange,KRAB
Region_258,0.1025930396067963,0.009392395790154537,0.2653216919591092,NoChange,KRAB
Region_259,0.13770523694595904,-0.00977664803591742,0.3183773253175114,NoChange,KRAB
Region_260,7.811780564370757e-4,-0.036465031974981105,0.016549940326205565,Depleted,KRAB
Region_262,0.0022968240990229086,-0.0124466785126964,0.030740504707976634,Depleted,KRAB
Region_263,0.24254507092040237,0.0036273931222371397,0.4465134631230316,NoChange,KRAB
Region_264,5.644880827115146e-4,0.015941746552092823,0.014157650076509628,Enriched,KRAB
Region_265,0.41795997658894096,0.004033773820475647,0.639985375551626,NoChange,KRAB
Region_266,0.4796735489598932,0.0048970980909923785,0.6898202481268677,NoChange,KRAB
Region_267,0.026355475716564564,-0.008960941533225446,0.13163176821974787,NoChange,KRAB
Region_268,0.725856475281594,-0.0019099813216532106,0.8532825145052809,NoChange,KRAB
Region_270,0.8411055441039396,7.967922000953764e-4,0.9179875315491884,NoChange,KRAB
Region_271,0.25132156001939715,0.005477613390157322,0.4529502875116653,NoChange,KRAB
Region_272,0.6091085541584279,-0.002774466459327607,0.7846886624866724,NoChange,KRAB
Region_273,0.7840581856007478,-0.0017854982554075883,0.8904379394259749,NoChange,KRAB
Region_274,0.015477033954612456,-0.014787541867031719,0.09752343341043378,NoChange,KRAB
Region_275,0.08530134246321269,-0.00790015295103091,0.2432568251947769,NoChange,KRAB
Region_276,0.169316237314043,0.0037563543536312783,0.3618484126049524,NoChange,KRAB
Region_277,0.015534706206971753,-0.015832573035037493,0.09752343341043378,NoChange,KRAB
Region_278,0.7071730110137896,-0.0015513876449125155,0.8478572970244904,NoChange,KRAB
Region_279,0.954168275202471,2.2127434391556582e-4,0.9784648543610751,NoChange,KRAB
Region_280,0.037240816616164255,-0.005647948686318517,0.15233347611317866,NoChange,KRAB
Region_281,0.3804141537490215,0.003295857786594692,0.6033234999809043,NoChange,KRAB
Region_282,0.4924724677088715,0.00287052311026237,0.6987102128055285,NoChange,KRAB
Region_283,0.5926954910149201,-0.0018456078293050114,0.7761671757629796,NoChange,KRAB
Region_284,0.5968238818508135,-0.002388907689039861,0.7785408213465158,NoChange,KRAB
Region_285,0.7541165277170337,-0.001085792390084731,0.8740017193028187,NoChange,KRAB
Region_286,0.5864151942695638,0.003664720491281542,0.7749936512604505,NoChange,KRAB
Region_287,0.8658551334016655,-8.666175084266765e-4,0.9340489744571666,NoChange,KRAB
Region_288,0.07644467535744456,-0.01715983344936372,0.23268008930346762,NoChange,KRAB
Region_289,0.1331462381473605,-0.010159000035485562,0.3110186028041703,NoChange,KRAB
Region_290,0.7626928866043743,-8.960620282916425e-4,0.879431593737697,NoChange,KRAB
Region_291,0.024159007930142907,-0.017482174264025395,0.12338837948502367,NoChange,KRAB
Region_292,0.3735694469798229,0.001639037073044705,0.5966550884624734,NoChange,KRAB
Region_294,0.05586186346564918,0.00733525871443851,0.20039335147994786,NoChange,KRAB
Region_295,0.00951174491921659,0.011155137243574316,0.07477058614758085,NoChange,KRAB
Region_296,0.26607699746812513,-0.007759440970115495,0.46979219865465843,NoChange,KRAB
Region_297,0.06194769272356309,0.00649326687379107,0.2058849787577244,NoChange,KRAB
Region_298,0.029990595063840674,-0.015358233533231841,0.13832396906995903,NoChange,KRAB
Region_299,0.08439196739240808,0.0052215012486313776,0.24142512190739526,NoChange,KRAB
Region_300,0.360025083821525,0.004322868726313797,0.5822230335861512,NoChange,KRAB
Region_301,0.03318306885354147,-0.012409322260897885,0.1438856828152572,NoChange,KRAB
Region_302,0.5368346788628908,0.001958023265853855,0.7332852026375724,NoChange,KRAB
Region_303,0.8751550053960495,-8.226721553159148e-4,0.939325114721414,NoChange,KRAB
Region_304,0.021439302565443578,-0.018419185296157457,0.11536386618548211,NoChange,KRAB
Region_305,0.4484189509179124,-0.005024064010169322,0.6667281770226856,NoChange,KRAB
Region_306,0.22442588944698463,-0.003360741276560191,0.42179002923092335,NoChange,KRAB
Region_307,0.2947161542529272,-0.005416436574064239,0.5065083715677684,NoChange,KRAB
Region_308,0.8994922142020634,4.0736137394837245e-4,0.9464483346449378,NoChange,KRAB
Region_309,0.7706858214031109,-0.0015382779639766572,0.8830164544339826,NoChange,KRAB
Region_311,0.542741213982216,0.002028421498373846,0.7351162903995343,NoChange,KRAB
Region_312,0.9273470395705914,-5.181602803654527e-4,0.9637090582351096,NoChange,KRAB
Region_313,0.7640867566624199,0.001490482355335515,0.8799164688188886,NoChange,KRAB
Region_314,0.018471438922243805,-0.026427782338588734,0.10328006800528913,NoChange,KRAB
Region_315,2.1301385384393315e-4,0.00899124475349142,0.009218660585248239,Enriched,KRAB
Region_316,0.1834343551184309,0.00929735263421014,0.3798596164514976,NoChange,KRAB
Region_317,0.054536397903085815,0.006323908040706036,0.19799559720638382,NoChange,KRAB
Region_318,0.6559365477669128,0.0020080295934534974,0.8156349919962712,NoChange,KRAB
Region_319,0.6136596431250939,0.0016056125106011692,0.7846886624866724,NoChange,KRAB
Region_320,0.10111434957695949,-0.012692729623425393,0.263783330574038,NoChange,KRAB
Region_321,0.3368056399007715,0.0022559854086663523,0.5566221178616041,NoChange,KRAB
Region_322,1.827421866123048e-5,-0.014124578763622348,0.002933694272936106,Depleted,KRAB
Region_323,0.47355835295251736,-0.0053532975323617865,0.6882584422332406,NoChange,KRAB
Region_324,0.11260311379721798,-0.02089881960979901,0.28041256509805557,NoChange,KRAB
Region_325,0.0581496317360331,-0.01612291975403471,0.20402181265670097,NoChange,KRAB
Region_326,0.0693498244578033,-0.009531622511353017,0.2164072777664541,NoChange,KRAB
Region_327,0.09124381118764445,-0.006443445163235811,0.2521887459791052,NoChange,KRAB
Region_328,0.10657667780754543,-0.005554354580895227,0.27139525841696077,NoChange,KRAB
Region_329,4.4039345179472595e-4,-0.019419612796793922,0.013180724761838682,Depleted,KRAB
Region_330,0.06016158602901454,-0.007937787817487524,0.20523046705746847,NoChange,KRAB
Region_331,0.11026515750838636,-0.006048922067020391,0.277365702071785,NoChange,KRAB
Region_332,0.14687034568142773,-0.006074483626168187,0.33109923315713385,NoChange,KRAB
Region_333,2.4080036153463225e-4,-0.021960634918942915,0.009894705764877616,Depleted,KRAB
Region_334,0.01621869688289858,-0.013607943256355167,0.09973946926626064,NoChange,KRAB
