bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.18856,0.0023121964820491,0.307824976530236,0.6366378762376902,early,NoChange,KRAB
PHOX2B.18857,0.00556714223987412,0.0326703510562355,0.2552517570122769,stable,NoChange,KRAB
PHOX2B.18858,0.0016036250708077,0.666006437225828,0.8651927017577503,stable,NoChange,KRAB
PHOX2B.18859,0.00228952463351814,0.622711048796415,0.8433535111047143,stable,NoChange,KRAB
PHOX2B.18860,-7.72499364696474e-5,0.983791373885489,0.9953656824601592,stable,NoChange,KRAB
PHOX2B.18861,-0.00135276694215295,0.65058662843693,0.8567177054582161,early,NoChange,KRAB
PHOX2B.18862,-0.0032896447810103,0.207548602129839,0.5448900796263104,early,NoChange,KRAB
PHOX2B.18863,1.2083523255068e-4,0.972824214546239,0.990732702329403,stable,NoChange,KRAB
PHOX2B.18864,1.15569199834412e-5,0.997383026942493,0.9989361178390916,stable,NoChange,KRAB
PHOX2B.18865,-0.00693979658367692,0.133739395578561,0.45403172912264056,early,NoChange,KRAB
PHOX2B.18866,-0.0200216451481496,1.0999523467442e-4,0.02829923553015885,stable,Depleted,KRAB
PHOX2B.18867,-0.0220218109755717,1.2588988085486e-4,0.03007509253622605,stable,Depleted,KRAB
PHOX2B.18869,-0.0147289405152893,0.00311405731964475,0.09952868317085586,early,NoChange,KRAB
PHOX2B.18870,-0.00386715265065033,0.388651477749937,0.7033478652977407,stable,NoChange,KRAB
PHOX2B.18871,0.00135519070411249,0.760427937567715,0.906388909475759,early,NoChange,KRAB
PHOX2B.18872,0.00559654224145564,0.188868961696755,0.5251897736304035,early,NoChange,KRAB
PHOX2B.18873,0.00197779413636954,0.644821981371688,0.8538114662461054,early,NoChange,KRAB
PHOX2B.18874,0.00238838621515122,0.518744674887986,0.7841557075306995,early,NoChange,KRAB
PHOX2B.18875,0.00482508588515167,0.192431911942527,0.5285003881449958,early,NoChange,KRAB
PHOX2B.18876,0.00408529178668239,0.317463942420838,0.6447168516499526,stable,NoChange,KRAB
PHOX2B.18877,0.00265961186125693,0.551658020962678,0.8045871956463511,early,NoChange,KRAB
PHOX2B.18878,0.00189024787295345,0.664467173304729,0.8641328671883493,stable,NoChange,KRAB
PHOX2B.18879,1.0928759095406e-4,0.973049743836992,0.990732702329403,stable,NoChange,KRAB
PHOX2B.18880,-0.00396130031841225,0.242794371810189,0.5765762964756874,early,NoChange,KRAB
PHOX2B.18881,-0.00664673695808522,0.0478085639128982,0.29500884914682274,early,NoChange,KRAB
PHOX2B.18882,-0.00383962978999316,0.224766474312962,0.5618379298538836,stable,NoChange,KRAB
PHOX2B.18883,-0.00151142400874708,0.562345949814909,0.8113532979611182,early,NoChange,KRAB
PHOX2B.18884,-0.00439300582077814,0.0982090953481501,0.3971868558408987,stable,NoChange,KRAB
PHOX2B.18885,-0.00525883164794791,0.0617230388206414,0.3284105562194038,stable,NoChange,KRAB
PHOX2B.18886,-0.0054883274263747,0.0500716037177917,0.29969485646837174,early,NoChange,KRAB
PHOX2B.18887,-0.00363918288251484,0.190033179519893,0.5260266345470015,early,NoChange,KRAB
PHOX2B.18888,-0.0022277458414666,0.390733571993433,0.7051904484367891,stable,NoChange,KRAB
PHOX2B.18889,-0.00193832328834151,0.434445783430862,0.7366894773711411,early,NoChange,KRAB
PHOX2B.18890,-0.00449772723464383,0.208954174033075,0.5463321845458275,stable,NoChange,KRAB
PHOX2B.18891,-0.00703789131719274,0.0637198190619268,0.3320618679253979,early,NoChange,KRAB
PHOX2B.18892,-0.00793864722544059,0.0230935310226179,0.2236207986631379,early,NoChange,KRAB
PHOX2B.18893,-5.4473756496966e-4,0.883011320378546,0.9606462397890766,stable,NoChange,KRAB
PHOX2B.18894,-0.0033464365882419,0.507228024989004,0.7784137158751138,early,NoChange,KRAB
PHOX2B.18895,2.4328189498088e-4,0.961839197246396,0.988012094321344,early,NoChange,KRAB
PHOX2B.18896,-0.00306324915138455,0.435271494336351,0.7373425040302672,early,NoChange,KRAB
PHOX2B.18897,4.1256500388359e-4,0.874789853820744,0.9583433164391943,stable,NoChange,KRAB
PHOX2B.18898,-0.00368146935372091,0.176159710233726,0.510292540141798,stable,NoChange,KRAB
PHOX2B.18899,-0.00789166083805472,0.0175974421478035,0.1987049460079122,early,NoChange,KRAB
PHOX2B.18900,-0.00695618924526709,0.0642283135550051,0.33304948349117536,stable,NoChange,KRAB
PHOX2B.18901,-0.00496688689479786,0.219307815283319,0.5572837858962078,early,NoChange,KRAB
PHOX2B.18902,-0.00401566873241292,0.229702328656082,0.5666487744675704,early,NoChange,KRAB
PHOX2B.18903,-0.00327618385640633,0.383731347125345,0.6986062001704891,early,NoChange,KRAB
PHOX2B.18904,-0.00609436129901201,0.0966835569641719,0.39492895044256143,stable,NoChange,KRAB
PHOX2B.18905,0.00123187026590985,0.766559030952037,0.9080742348051636,early,NoChange,KRAB
PHOX2B.18906,0.00221166882876628,0.570532890908778,0.8172181186010702,stable,NoChange,KRAB
PHOX2B.18907,0.00941964685243264,0.0126040738654584,0.17517420806256984,stable,NoChange,KRAB
PHOX2B.18908,0.00404860172497,0.294217053455411,0.625024362923633,stable,NoChange,KRAB
PHOX2B.18909,0.00227042760279535,0.507769134665045,0.7786010672110351,stable,NoChange,KRAB
PHOX2B.18910,-5.599894710656e-4,0.863088130755592,0.9537083924029182,stable,NoChange,KRAB
PHOX2B.18911,0.0080501363189797,0.0473071420979204,0.2941814814884343,stable,NoChange,KRAB
PHOX2B.18912,0.00749318710382312,0.0704562764052251,0.3460323965710953,stable,NoChange,KRAB
PHOX2B.18913,0.00638259986771451,0.140983378969559,0.4653898631085541,stable,NoChange,KRAB
PHOX2B.18914,0.00418414841247945,0.236981572129993,0.572738294209938,early,NoChange,KRAB
PHOX2B.18915,0.00863718316873544,0.0098723488974431,0.15813725154400476,stable,NoChange,KRAB
PHOX2B.18916,9.3683978593209e-4,0.824363489292269,0.936028695779102,stable,NoChange,KRAB
PHOX2B.18917,-1.222580478712e-4,0.975895438281411,0.9913969923147228,stable,NoChange,KRAB
PHOX2B.18918,-4.75294660949e-4,0.90892280227508,0.969506060878056,stable,NoChange,KRAB
PHOX2B.18919,0.00372882811360965,0.29512733535045,0.6256864134210922,stable,NoChange,KRAB
PHOX2B.18920,-0.0023772343808774,0.582769837763368,0.82317391040661,stable,NoChange,KRAB
PHOX2B.18921,-0.0055783464680102,0.141633696426245,0.4666155053853615,stable,NoChange,KRAB
PHOX2B.18922,5.4146363025347e-4,0.866652811399819,0.9549970324880844,early,NoChange,KRAB
PHOX2B.18923,0.00281134612884583,0.320925341765972,0.647855443065228,stable,NoChange,KRAB
PHOX2B.18924,0.00410587806283414,0.149152488294768,0.4777393337968598,stable,NoChange,KRAB
PHOX2B.18925,0.00177347191221719,0.498416884589903,0.7740613487722556,stable,NoChange,KRAB
PHOX2B.18926,0.00141701483185707,0.503178338374266,0.7762314681631141,early,NoChange,KRAB
PHOX2B.18927,0.00310123811253707,0.204723067153259,0.5425647942953963,early,NoChange,KRAB
PHOX2B.18928,0.00297196639821892,0.240207579621813,0.5742926932790714,stable,NoChange,KRAB
PHOX2B.18929,0.00654386994228649,0.0181134702535161,0.2005246560009619,early,NoChange,KRAB
PHOX2B.18930,0.0032448883556959,0.260682985363532,0.5940048459237425,stable,NoChange,KRAB
PHOX2B.18931,0.00426140406485004,0.153434468953397,0.4819467739120319,early,NoChange,KRAB
PHOX2B.18932,0.00202123629918449,0.414822499242493,0.7236242964887365,stable,NoChange,KRAB
PHOX2B.18933,0.00155823969547344,0.464940732509505,0.754874162112277,early,NoChange,KRAB
PHOX2B.18934,-0.0031310385803406,0.228077881834749,0.5649739222222192,early,NoChange,KRAB
